Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2011-10-01,0,8.5,13.7,19,7.8,0.98,10.89
2011-10-02,6.32,7.8,9.7,11.6,9,0.16,1.25
2011-10-03,3.64,7.4,10.9,14.5,8.5,0.15,4.83
2011-10-04,11.26,7.7,9.5,11.2,8.5,0.23,1.09
2011-10-05,2.44,6.8,10.2,13.6,6.8,0.2,5.05
2011-10-06,9.9,6.6,7.8,9.1,6.6,0.22,1.16
2011-10-07,1.88,6.5,8.7,10.9,7.2,0.28,1.99
2011-10-08,4.05,5.7,7.9,10.2,4.6,0.51,1.62
2011-10-09,3.17,5,10,14.9,4.5,0.76,7.74
2011-10-10,2.63,6.8,9.9,13.1,6.6,0.22,4.81
2011-10-11,21.79,7.2,8.8,10.4,7.9,0.17,1.39
2011-10-12,47.46,5.9,7.6,9.3,6.9,0.14,0.86
2011-10-13,9.36,3.8,6.5,9.2,4.7,0.09,1.24
2011-10-14,0,3.1,7.8,12.4,2.7,0.42,7.09
2011-10-15,0,3.2,7.3,11.5,3.8,0.39,5.57
2011-10-16,0,1.7,7.5,13.2,1.1,0.4,8.16
2011-10-17,0,1.9,7.3,12.7,0.6,0.77,7.7
2011-10-18,0,3,9,15,2.6,0.16,9.69
2011-10-19,0,5.5,12,18.6,3.7,1.73,13.18
2011-10-20,6.26,5.9,10.6,15.3,6.4,0.55,7.11
2011-10-21,6.91,6,8.9,11.7,7.4,0.09,2.51
2011-10-22,26.25,6.6,8.2,9.8,7.3,0.09,0.68
2011-10-23,26.18,6.6,8.5,10.4,8,0.03,0.69
2011-10-24,1.6,3.8,7.5,11.2,2.9,0.5,5.32
2011-10-25,2.35,2.6,5.4,8.1,2.4,0.24,2.6
2011-10-26,0.16,0.4,5.5,10.6,-1.5,0.51,6.42
2011-10-27,1.48,0.5,3.2,5.9,-0.2,0.25,2.66
2011-10-28,0.71,0.7,5.1,9.5,-1.6,0.57,5.58
2011-10-29,16.68,2.3,5.4,8.6,1.7,0.09,4.36
2011-10-30,4.5,2,5.9,9.8,2.3,0.23,4.13
2011-10-31,17.66,2.4,5.6,8.7,5,0.05,1.57
2011-11-01,5.25,0.9,3.7,6.4,1.7,0.25,2.45
2011-11-02,0,-0.9,2.8,6.5,-2.4,0.38,4.65
2011-11-03,7.53,-0.2,4.5,9.2,-2.4,0.41,5.98
2011-11-04,4.13,-0.4,3,6.5,1.4,0.06,2.9
2011-11-05,0,-1.9,1.6,5.2,-2.4,0.25,3.66
2011-11-06,0,-2.6,1.6,5.9,-2.7,0.25,5.09
2011-11-07,0,-2.4,1.6,5.5,-2.4,0.41,4.42
2011-11-08,12.85,0.4,2,3.6,1.2,0.24,1.29
