Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2009-10-01,0,0.6,6.4,12.3,-0.5,0.65,9.07
2009-10-02,0,1.1,8.5,16,0.5,0.79,12.18
2009-10-03,2.39,1.5,9.1,16.6,3.5,0.29,12.07
2009-10-04,0,5.5,10,14.5,3.2,0.57,8.99
2009-10-05,0,5.3,11.1,16.8,-3.8,4.22,14.56
2009-10-06,0,-1,8.5,18,-3.9,1.07,16.79
2009-10-07,0,0,9.2,18.4,-2,1.39,16.43
2009-10-08,0,-0.5,8.9,18.3,-0.3,0.79,15.9
2009-10-09,0,-0.8,7.9,16.6,-2.4,0.76,14.76
2009-10-10,0,-4.8,4.1,13.1,-7.4,1.47,11.66
2009-10-11,0,-8.6,0.3,9.2,-12.4,0.8,9.74
2009-10-12,0,-7.4,0.9,9.2,-13.2,1.15,9.91
2009-10-13,0,-6.8,1.2,9.2,-9.5,1.32,9.13
2009-10-14,2.55,-0.3,6.5,13.2,0.5,0.83,9.93
2009-10-15,10.47,5.6,9.6,13.6,7.3,0.23,4.54
2009-10-16,0.38,5.2,10.6,16,7.2,0.34,7.73
2009-10-17,0,5.7,14.2,22.6,8,0.1,16.69
2009-10-18,1.52,5.7,12.2,18.6,7.9,0.06,11.03
2009-10-19,0,5.2,11.4,17.6,6.6,0.47,10.49
2009-10-20,0.01,6.2,11.5,16.8,6,0.64,10.16
2009-10-21,0,1.8,9.3,16.7,5.4,0.12,10.07
2009-10-22,1.32,1.9,9,16.1,5.7,0.01,9.95
2009-10-23,0,4.7,10.4,16.1,5.1,0.53,9.35
2009-10-24,12.69,4.2,7.6,11.1,6,0.28,4.22
2009-10-25,0.48,-0.2,6.4,13,0.8,0.47,8.55
2009-10-26,1.26,-0.4,5,10.3,0.8,0.46,6.26
2009-10-27,7.06,3.4,8.1,12.8,3,0.54,6.64
2009-10-28,0.34,-1.5,3.1,7.8,-0.8,0.26,5.07
2009-10-29,0.43,-1.7,3.1,7.8,-1.8,0.41,5.44
2009-10-30,2.22,-1.1,2.2,5.6,0.2,0.17,2.57
2009-10-31,2.16,3.1,6.8,10.5,5.3,0.18,3.32
2009-11-01,1.17,4.2,9.1,14.1,5.9,0.21,7.01
2009-11-02,0,-2,5.5,12.9,-0.3,0.42,9.81
2009-11-03,0,-3.3,3.5,10.3,-0.7,0.11,6.21
2009-11-04,0,-1.9,4.8,11.5,-0.1,0.32,6.85
2009-11-05,0,-1.3,6.4,14,0.5,0.35,9.78
2009-11-06,4.17,1.3,7.4,13.6,3.1,0.43,9.13
2009-11-07,1.14,0.5,6.9,13.2,2.2,0.35,8.88
2009-11-08,2.42,1.4,5.9,10.3,1.7,0.38,5.71
2009-11-09,0.37,-1.5,3.4,8.2,1.7,0.05,3.87
2009-11-10,0.44,-1.7,4.1,10,1.8,0.16,5.67
2009-11-11,4.24,0.5,4.9,9.3,3,0.13,3.68
2009-11-12,4.11,0,2.8,5.6,2.3,0.16,1.74
2009-11-13,0,-2.1,2.1,6.3,-0.8,0.21,3.63
2009-11-14,1.83,-1.7,2.4,6.4,-1.6,0.28,4.82
2009-11-15,0,-4,0.7,5.5,-3.6,0.32,4.59
2009-11-16,0,-2.2,1.5,5.3,-3.3,0.81,4.32
2009-11-17,0,1.3,5,8.8,-2.5,1.55,6.55
2009-11-18,5.23,1.3,5.1,8.9,1.2,0.33,6.28
2009-11-19,0.6,-1.4,3.1,7.6,-0.2,0.22,4.04
2009-11-20,0,-1.1,2.2,5.6,-0.9,0.24,3.76
2009-11-21,2.9,0,3,5.9,-0.4,0.28,4.54
2009-11-22,0.93,-1,2,5,-2.4,0.49,4.04
2009-11-23,10.17,-1.7,1.3,4.3,-0.1,0.01,2.93
2009-11-24,0,-0.3,2.4,5.1,-0.8,0.52,2.88
2009-11-25,0,0.4,3.7,7,0.3,0.5,3.67
2009-11-26,0,0.7,5.2,9.6,0.9,0.54,5.13
2009-11-27,2.35,0.6,3,5.4,1.2,0.27,2.24
2009-11-28,4.61,0,2.7,5.4,1.7,0.23,1.58
2009-11-29,0,-1.5,1.9,5.4,-0.2,0.19,2.73
2009-11-30,0,-2.7,2.5,7.6,0.1,0.05,3.78
2009-12-01,1.04,-0.4,2.5,5.3,0.1,0.24,2.55
2009-12-02,0,-7.3,-0.4,6.4,-3.2,0.11,4.62
2009-12-03,0,-8,-2.8,2.4,-5.7,0.23,3
2009-12-04,0,-8.6,-3.3,2,-7.5,0.23,3.8
2009-12-05,0,-7.3,-4.6,-2,-6.9,0.31,1.8
2009-12-06,0,-5.6,-2.9,-0.2,-8.8,0.48,3.24
2009-12-07,0,-13.8,-7.7,-1.5,-21,1.07,4.37
2009-12-08,0,-17.2,-11.6,-6.1,-20.7,0.37,2.88
2009-12-09,0,-17.4,-12.6,-7.9,-19.2,0.34,2.08
2009-12-10,0,-16.2,-11.9,-7.6,-17.2,0.24,1.97
